color1,color2,color3,color4,color5,color6,color7,color8,AT&T,Amazon,Apple,DocuSign,Intuit,Linkedin,Microsoft,Netflix,Walmart,Xerox,Zoom,url_len,tld_char_score
16314074,12943693,12480307,12743738,2236962,14073509,16711679,16101774,0,0,0,0,0,0,0,0,0,0,0,22,1.0698315581843423
16514043,10500665,11809334,328965,3959455,10854042,265492,12479837,0,0,0,0,0,0,0,0,0,0,0,22,1.0394669564851753
16382457,5287850,4093068,6776679,5413524,3289650,10526880,13756904,0,0,0,0,0,0,0,0,0,0,0,29,1.6810662200905442
16711422,5088987,197379,13757432,16449278,3502712,6118749,16711166,1,0,0,0,0,0,0,0,0,0,0,24,1.251357291359802
16711422,723980,14149104,2645151,12031620,6184799,10132379,6250335,0,0,0,0,0,0,0,0,0,0,0,56,3.1360503580902157
16645629,1644568,3626908,12292216,7038818,15004154,6991334,16055547,0,0,0,0,0,0,0,0,0,0,0,30,1.7722260097965625
16711422,1589352,14279147,3830950,9084857,11378830,8022355,3158323,0,0,0,0,0,0,0,0,0,0,0,17,0.6967823024907429
2103574,12098179,7888719,15918554,7089188,7955301,10255966,14531997,0,0,0,0,0,0,0,0,0,0,0,17,1.2095150005701256
16185078,396324,8363567,16382715,5527649,16580093,592137,8619666,0,0,0,0,0,0,0,0,0,0,0,14,0.1166881078752447
16053485,65793,11712944,6184541,10790049,12698044,8487293,0,0,0,0,0,0,0,0,0,0,0,0,13,0.8284054914775538
5526612,16711422,0,10526880,3504518,14608875,9023672,5541272,0,0,0,0,0,0,0,0,0,0,0,18,0.7438305217785035
2762532,5393994,10921638,12895428,5323568,11764536,5279710,3957137,0,0,0,0,0,0,0,0,0,0,0,11,0.7128800927050657
16711422,9549005,12768482,11060183,5007485,16053749,14175048,6641237,0,0,0,0,0,0,0,0,0,0,0,13,0.686553680289368
16711422,11640210,15135985,7297874,2370100,1642763,14606822,5331314,0,0,0,0,0,0,0,0,0,0,0,17,0.7367672106105777
16711422,3369716,14672616,245,2237737,1710618,7368302,10526623,0,0,0,0,0,0,0,0,0,0,0,13,0.45179651700220375
16711422,263172,6052956,10461087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.3292409064764599
15856113,15856370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.7233303742859281
1849708,1651037,2836865,16711422,6066155,4031939,6672498,15422760,0,0,0,0,0,0,0,0,0,0,0,11,0.5189421123047754
2631206,6117462,10786703,15526375,5138818,1911871,7903932,5585197,0,0,0,0,0,0,0,0,0,0,0,18,1.0070200872501864
15126690,4199179,9607074,10592393,6908236,9080915,6384248,9603733,0,0,0,0,0,0,0,0,0,0,0,16,0.7863116637581355
3702849,16185075,8960066,11443585,8869438,10270106,14147545,2048305,0,0,0,0,0,0,0,0,0,0,0,19,0.7696812427683783
16645628,3306672,5874127,920587,12573164,11707784,7886155,15125622,0,0,0,0,0,0,0,0,0,0,0,30,1.6938778960232734
16711422,3160803,3108543,657930,14673909,10526880,6316128,7904469,0,0,0,0,0,0,0,0,0,0,0,11,0.6698550686262424
16250870,2106416,13685977,2629911,11248016,7036751,10398651,4133495,0,0,0,0,0,0,0,0,0,0,0,27,1.4217059182395602
16711422,4659335,15565111,2303530,14934506,10526885,6052709,15066854,0,0,0,0,0,0,0,0,0,0,0,25,1.292034161745775
8355830,0,6710981,1447468,4802957,3552872,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.6272677253712062
16711422,10395294,2302755,6316128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.9260337272167365
16645369,2830927,16186104,16110047,14871538,15520898,3833040,11510163,0,0,0,0,0,0,0,0,0,0,0,33,1.7364055678100505
16711422,15426177,197379,15160944,13535357,7171437,15291984,10761113,0,0,0,0,0,0,0,0,0,0,0,21,1.4182653421666718
